ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	1	1	2821360
0.742678	1	0.963619	2718720
0.727434	1	0.958927	2705480
0.361587	1	0.729412	2057930
0.999945	1	1	2821360
1	0.471795	0.826212	2331040
0.491071	1	0.840304	2370800
0.999958	0.474886	0.828509	2337520
0.999954	0.4689	0.824012	2324840
0.682109	1	0.943061	2660710
1	1	1	2821360
1	0.478873	0.831477	2345900
0.950206	1	0.998739	2817800
1	0.245856	0.590795	1666850
0.994078	0.478261	0.828928	2338710
0.998974	0.543835	0.87475	2467980
0.198937	1	0.520174	1467600
1	1	1	2821360
1	0.478947	0.831531	2346050
0.822065	0.492063	0.770622	2174200
0.998727	0.484277	0.834978	2355770
0.997491	1	0.999997	2821350
0.971655	1	0.999594	2820220
1	0.22665	0.563078	1588650
0.717626	0.447917	0.686253	1936170
1	1	1	2821360
0.468399	1	0.823649	2323810
0.633424	0.211014	0.402647	1136010
0.740936	0.211014	0.446478	1259680
0.999942	1	1	2821360
0.997743	1	0.999997	2821350
1	1	1	2821360
0.980476	0.462264	0.811903	2290670
0.844597	1	0.987246	2785380
0.570283	1	0.890567	2512610
1	1	1	2821360
0.979093	1	0.99978	2820740
0.990438	0.621572	0.914277	2579510
1	1	1	2821360
0.973158	0.171293	0.465344	1312900
1	0.513766	0.855928	2414880
0.999946	0.492228	0.841107	2373070
0.999814	1	1	2821360
0.997088	0.47619	0.828463	2337390
0.425151	0.461957	0.516063	1456000
1	0.488038	0.838138	2364690
0.9991	1	1	2821360
0.623944	1	0.918255	2590730
0.999448	0.497238	0.844459	2382520
1	1	1	2821360
0.972971	1	0.999631	2820320
0.999944	1	1	2821360
0.894161	1	0.99419	2804970
0.999944	1	1	2821360
0.980732	0.486339	0.83007	2341930
0.571859	1	0.89145	2515100
0.591493	1	0.902089	2545120
0.99922	0.453202	0.811594	2289800
1	0.236255	0.577134	1628300
0.999731	1	1	2821360
1	0.460123	0.817299	2305890
0.999697	0.460123	0.81719	2305590
1	1	1	2821360
0.999398	1	1	2821360
1	0.460123	0.817299	2305890
0.358421	1	0.726178	2048810
4.70924e-22	2.45341e-07	7.54781e-27	2.12951e-20
1.78719e-20	2.45341e-07	2.705e-25	7.63178e-19
2.95225e-21	2.45341e-07	4.5988e-26	1.29749e-19
3.21449e-18	2.45341e-07	4.45582e-23	1.25715e-16
1	0.490566	0.839945	2369790
0.999802	0.496503	0.844069	2381420
0.999612	1	1	2821360
0.999931	1	1	2821360
0.997743	0.497207	0.843844	2380790
0.999935	1	1	2821360
1	0.470588	0.825304	2328480
0.999947	1	1	2821360
1	0.101412	0.3335	940923
0.559696	0.451429	0.600251	1693520
0.999949	1	1	2821360
1	1	1	2821360
1	0.49909	0.845942	2386710
1	0.442211	0.803041	2265670
0.974478	1	0.999672	2820430
1	0.477778	0.830669	2343620
0.531231	1	0.867266	2446870
1	1	1	2821360
1	0.463277	0.819736	2312770
0.99944	0.198399	0.519125	1464640
1	1	1	2821360
1	1	1	2821360
0.999441	0.488889	0.838552	2365860
1	1	1	2821360
0.999805	1	1	2821360
1	1	1	2821360
1	0.492462	0.841292	2373590
0.793227	1	0.976975	2756400
0.970127	1	0.999549	2820090
1	1	1	2821360
1	0.497918	0.845126	2384410
0.968257	1	0.999491	2819920
0.970446	1	0.999559	2820120
0.99279	0.492537	0.838817	2366610
0.998192	0.492537	0.840714	2371960
0.999548	0.492537	0.841187	2373290
0.845081	1	0.987327	2785610
0.336253	1	0.702732	1982660
0.992646	1	0.999973	2821280
